Function Header,Docstring,Num. Words,Original Code,Predicted Code,Exact Match,CHRF,Levenshtein,Jaro
"def gcd(a, b):","""""""Return the greatest common divisor of a and b using the Euclidean algorithm.""""""",2,while b != 0:,while b  > 0:,0.0,0.5009685134887696,0.8461538461538461,0.8974358974358975
def area_of_circle(radius):,"""""""Return the area of a circle given its radius.""""""",2,return math.pi * (radius ** 2),return math.pi  * radius ** 2,0.0,0.8073326110839844,0.9491525423728814,0.9067597153804051
def is_prime(n):,"""""""Return True if n is a prime number, else False.""""""",3,if n <= 1:,if n < 2:,0.0,0.32215206146240233,0.8421052631578947,0.8962962962962964
def transpose_matrix(matrix):,"""""""Return the transpose of a given matrix.""""""",5,return [[matrix[j][i] for j in range(len(matrix))] for i in range(len(matrix[0]))],return [[matrix[j][i] for j in  range(len(matrix))] for i in range(len(matrix[0]))],0.0,1.0,0.9939393939393939,0.9390733666372807
"def add(x, y):","""""""Return the sum of x and y.""""""",3,return x + y,return 0 if x == y else x + y,0.0,0.47547691345214843,0.5853658536585367,0.735022640195054
def fibonacci_sequence(n):,"""""""Return a list of the first n Fibonacci numbers.""""""",4,"    a, b = 0, 1","a,  b = 0, 1",0.0,1.0,0.9565217391304348,0.8813131313131312
"def divide(x, y):","""""""Return the quotient of x and y.""""""",2,return x / y,return x / y,1.0,1.0,1.0,1.0
def find_median(numbers):,"""""""Return the median of a list of numbers.""""""",5,    if count % 2 == 0:,if  mid == 0:,0.0,0.19233415603637696,0.6451612903225806,0.7415954415954417
def factorial(n):,"""""""Return the factorial of n.""""""",6,"    for i in range(1, n + 1):","for  i in range(1, n+1):",0.0,1.0,0.9387755102040817,0.8755555555555555
def calculate_mean(numbers):,"""""""Return the mean of a list of numbers.""""""",7,    return total / count if count > 0 else 0,return total /  count,0.0,0.5624554061889648,0.6885245901639344,0.794047619047619
"def merge_dictionaries(dict1, dict2):","""""""Return a new dictionary that merges two dictionaries.""""""",5,"    for key, value in dict2.items():",for  key in dict2:,0.0,0.34979801177978515,0.6799999999999999,0.8171296296296297
def is_palindrome(s):,"""""""Return True if s is a palindrome, else False.""""""",4,    return cleaned == cleaned[::-1],def is_palindrome(s):,0.0,0.056818180084228516,0.2692307692307693,0.4995903737839222
def prime_factors(n):,"""""""Return a list of the prime factors of n.""""""",9,        while n % divisor == 0:,#while n % divisor == 0:,1.0,0.9871148681640625,0.9787234042553191,0.9861111111111112
def fibonacci(n):,"""""""Return the nth Fibonacci number.""""""",4,"        a, b = b, a + b","a, b = b, a + b",1.0,1.0,1.0,1.0
"def matrix_multiplication(matrix_a, matrix_b):","""""""Return the product of two matrices.""""""",4,            for k in range(len(matrix_b)):,matrix_a[i][j] = matrix_a[i][j] + matrix_b[i][j],0.0,0.2160690689086914,0.33333333333333337,0.44861111111111107
"def power(base, exponent):","""""""Return base raised to the power of exponent.""""""",4,    for _ in range(exponent):,"for i in range(1, exponent):",0.0,0.689294204711914,0.9056603773584906,0.9251587301587302
"def lcm(a, b):","""""""Return the least common multiple of a and b.""""""",6,"return abs(a * b) // gcd(a, b)",return 1 if a > b else 0,0.0,0.1902422332763672,0.4814814814814815,0.6638888888888889
"def startGame(fps, volume, roomNo, playerNo, gameDir):",""""""" Starts the single player gamemode """"""",7,"        text = createText(""Waiting for players to get ready..."", 100, WHITE)","text = createText(""Waiting for players 10 seconds"", 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 1",0.0,0.47798709869384765,0.42194092827004215,0.6587481146304676
def createTarget(targetGrid):,"""""""Creates a target""""""",6,targetCoords = targetGrid.pop(randrange(len(targetGrid))) # Randomly takes out a pair of coordinates,targetCoords = targetGrid.pop(randrange(len(targetGrid))) # Randomly 1000 random coordinates,0.0,0.8144022369384766,0.875,0.8971867007672634
def submitReview(self):,"""""""Adds review to database""""""",3,"                comment = "" ""","self.entry_comments.pop(1.0, None)",0.0,0.36143524169921876,0.34042553191489366,0.4385908209437621
"def cleanText(self, event):","""""""Cleans default text""""""",3,"if self.entry_comments.get(1.0, ""end"").strip() == ""Type here:"":","if self.entry_comments.get(1.0, ""end"").strip() == """":",0.0,0.8374591827392578,0.9137931034482758,0.9408006389138466
def viewProfile(self):,"""""""Shows Player information""""""",2,# Searches for data in database,# Searches for data from the player profile page,0.0,0.540260009765625,0.6329113924050633,0.7549972429004687
def specialThanks(self):,"""""""Shows details about the creator and testers of the game""""""",7,"            tk.Label(self.credWin, text=person, font=""Arial 18 bold"", bg=""gray10"", fg=""gray70"").pack(pady=10)","tk.Label(self.credWin, text=person).pack(pady=10)",0.0,0.5375223159790039,0.6712328767123288,0.7426089112221249
def updateOptions(self):,"""""""Updates Options""""""",5,        self.gameVolume = self.entry_Volume.get() / 100,self.gameVolume = int(self.entry_Volume.get()),0.0,0.8333240509033203,0.8817204301075269,0.8317840301437242
"def cleanText(self, event):","""""""Cleans default text""""""",6,"if self.entry_comments.get(1.0, ""end"").strip() == ""Type here:"":",if self.entry_comments.get(1) == 0:,0.0,0.5120235824584961,0.6938775510204082,0.8328042328042328
"def playerLeftRoom(self, roomNo, playerNo):","""""""Makes changes to data files""""""",5,shelfFile = shelve.open(str(self.multiRDir / Path(str(roomNo)))),shelfFile = 0,0.0,0.15630714416503907,0.3116883116883117,0.7035256410256411
"def logIn_page(self, sendHome=True):","""""""Opens window for logging in""""""",3,"self.logIn = self.createWindow(""Shooter - Log In"", ""500x350+100+50"")","self.logIn = self.createWindow(""Shooter - Log In"", self.logIn_title, self.logIn_icon, self.logIn_width, self.logIn_height)",0.0,0.6118533706665039,0.5473684210526315,0.7303117968498875
def register_help(self):,"""""""Opens help window on register page""""""",5,"                                       ""profile picture, find the image online and copy and paste the image location ""","""nickname, use the following command:\n\n""",0.0,0.1334365177154541,0.3801652892561983,0.6254571026722925
"def createEnemy(enemyGrid, levelValues, levelEnemies, sprite_group, enemy_group, enemy_spawning, volume):","""""""Creates an enemy""""""",3,"    enemy = levelValues[""enemyClass""](e[""name""], enemyCoords[0], enemyCoords[1], e[""pAwarded""], e[""bpAwarded""],","enemy = levelValues[""enemyClass""](e[""name""], enemyCoords[0], enemyCoords[1], enemyCoords[2], enemyCoords[3], enemyCoords[4], enemyCoords[5], enemyCoords[6], enemyCoords[7], enemyCoords[8], enemyCoords[9], enemyCoords[10], enemyCoords[11], enemyCoords[12], enemyCoords[13], enemyCoords[14], enemyCoords[15], enemyCoords[16], enemyCoords[17], enemyCoords[18], enemyCoords[19], enemyCoords[2",0.0,0.48872013092041017,0.3797979797979798,0.685647642300089
def createTarget(targetGrid):,"""""""Creates a target""""""",6,"    target = Target(""Images/Target.png"", targetCoords[0], targetCoords[1])",targetGrid.append(targetCoords) # Add the coordinates to the grid,0.0,0.2867477607727051,0.4444444444444444,0.6472860472860473
def quitGame():,""""""" Shows pop-up box before closing game """"""",7,"        response = tk.messagebox.askyesno(""Quit Game"", ""Are you sure you want to quit the game?\","response = tk.messagebox.askyesno(""Quit Game"", ""Are you sure you want to quit?"")",0.0,0.89428466796875,0.9285714285714286,0.9537878787878787
def createTarget(targetGrid):,"""""""Creates a target""""""",7,"    target = Target(""Images/Target.png"", targetCoords[0], targetCoords[1])",targetCoords = np.array(targetCoords),0.0,0.36083301544189456,0.485981308411215,0.6698359073359074
def createCourse(self):,""""""" Creates files for course """"""",1,            self.color = choice(COURSE_COLORS).strip(),self.color = choice(COURSE_COLORS).name,0.0,0.8261874389648437,0.8641975308641976,0.9102564102564102
def addTopic(self):,""""""" Adds topic to topic widget""""""",1,name = self.topicEdit.text(),name = self.topicEdit.text(),1.0,1.0,1.0,1.0
def validateTopic(self):,""""""" Checks whether topic name is valid """"""",1,name = self.topicEdit.text().lower().strip(),name = self.topicEdit.text().lower().strip(),1.0,1.0,1.0,1.0
def selectColor(self):,""""""" Opens colour picker window to select colour """"""",1,color = qt.QColorDialog.getColor()  # Opens colour picker window,color = qt.QColorDialog.getColor()  # Opens colour picker  window to select colour,0.0,0.9502281188964844,0.8767123287671232,0.9268292682926829
def selectPDF(self):,""""""" Opens file dialog to select textbox pdf path """"""",1,            data = json.load(f),data = json.load(f),1.0,1.0,1.0,1.0
"def allowBack(self, val):",""""""" Change value of back """"""",1,self.back = val,self.back = 1 if val else 0,0.0,0.6847083282470703,0.7142857142857143,0.8518518518518517
def getSubtopics(self):,""""""" Get subtopics from database """"""",1,        c = conn.cursor(),c = conn.cursor(),1.0,1.0,1.0,1.0
"def __init__(self, superClass, databasePath, fillComboBoxes):",""""""" Main Window """"""",1,        self.fillComboBoxes = fillComboBoxes,self.fillComboBoxes = 0,0.0,0.6042497253417969,0.7457627118644068,0.8558776167471821
def loadSubtopics(self):,""""""" Loads existing subtopics """"""",1,        c = conn.cursor(),c = conn.cursor(),1.0,1.0,1.0,1.0
def updateNoteNav(self):,""""""" Update label and navigate buttons based on existing notes """"""",1,            noteList = [i[0] for i in c.fetchall()],noteList = [i[0] for i in c.fetchall()],1.0,1.0,1.0,1.0
"def takeTextbookSnip(self, _type):",""""""" Opens window to take snippet from current textbook page """"""",1,"path = ""images/temp/snip.png""","path =  self.get_path(_type)",0.0,0.16209592819213867,0.42105263157894735,0.624384236453202
"def paintOptionSelected(self, _type, option):",""""""" Runs when paint window is closed """"""",1,"            elif option == ""delete"":","elif option == ""delete"" or option == ""deleteAll"":",0.0,0.7835537719726563,0.6575342465753424,0.8092403628117913
"def addQuestPic(self, path):",""""""" Opens window for adding a picture to the question """"""",1,"            with open(""text/currentSettings.json"") as f:","with open(""text/currentSettings.json"") as  f:",0.0,1.0,0.9887640449438202,0.9925925925925926
def checkDefinitionAnswer(self):,""""""" Checks text written to see whether it matches the answer """"""",1,"        ans = self.currentNote[""answer""]",ans = self.answerEdit.toPlainText(),0.0,0.3769949722290039,0.5074626865671642,0.6962662337662339
def generateMathQuestion(self):,""""""" Generates formula question """"""",1,        c = conn.cursor(),c = conn.cursor(),1.0,1.0,1.0,1.0
"def revealDefinition(self, correct=False):",""""""" Shows definition answer """"""",1,        self.noteUpdateNeeded = correct,self.noteUpdateNeeded = 0,0.0,0.7697360229492187,0.8571428571428572,0.9113978494623657
"def setCorrect(self, correct):",""""""" Sets whether question was correct or incorrect """"""",1,if correct:,if  correct:,0.0,1.0,0.9565217391304348,0.9722222222222222
"def getCentralCoordinates(img, t):",""""""" Returns coordinates of central image """"""",1,            if tuple(pix[y][x]) != average:,if tuple(pix[y][x]) != 0:,0.0,0.7250320434570312,0.8571428571428572,0.9113978494623657
def getAverageColor(img):,""""""" Returns the average colour used as the image border """"""",1,        for i in range(3):,for i in  range(img.width):,0.0,0.7000406646728515,0.7555555555555555,0.8580246913580246
"def addProcess(self, questionText, answerText, qImageNo):","""""""Adds paragraph to document""""""",1,"paragraph = self.doc.add_paragraph("""")",paragraph = self.doc.createElement('p'),0.0,0.5113180160522461,0.6493506493506493,0.7579847053531265
def convertToDoc(self):,""""""" Inserts values from database into document """"""",1,"with open(""text/currentSettings.json"") as f:","with open(""text/currentSettings.json"") as  file:",0.0,0.963009033203125,0.9565217391304348,0.9722222222222222
def showImportOptions(self):,""""""" Allows user to import notes """"""",1,            data = json.load(f),data = json.load(f),1.0,1.0,1.0,1.0
"def changeTopic(self, i):",""""""" Changes the topic combo value """"""",1,topic = self.topicList[self.topicIndex + i],"topic = self.topicList[self.topicIndex + 1]",0.0,0.9493585205078126,0.9767441860465116,0.9844961240310077
def updateMenuBar(self):,""""""" Updates menu bar with course title """"""",1,# Load widgets,# Load  menu bar,0.0,0.2518097686767578,0.5333333333333333,0.6904761904761904
def unselectList(self):,""""""" Unselects all subtopics selected """"""",1,            # Unselect list,# Unselect 1st item,0.0,0.6255035400390625,0.7647058823529411,0.8662489557226399
def resetTopics(self):,""""""" Sets current topic list to default value """"""",1,self.currentTopicList = dict(self.subtopicList),self.currentTopicList = dict(self.topicList),0.0,0.8811952209472657,0.967032967032967,0.9484203739522888
def startLearning(self):,""""""" Opens learn window """"""",1,        focusWeak = self.weakBox.isChecked(),focusWeak = self.weakBox.isChecked(),1.0,1.0,1.0,1.0
def deleteNotes(self):,""""""" Deletes all notes """"""",1,"reply = qt.QMessageBox.warning(self, ""Are you sure?"", ""This cannot be undone"",","reply = qt.QMessageBox.warning(self, ""Are you sure?"", ""This cannot be undone"" )",0.0,0.9849524688720703,0.9808917197452229,0.9872876771610949
def saveOptions(self):,""""""" Makes changes if settings were changed """"""",1,"                visitDates = content[""dateStudied""]","visitDates =  content[""visitDates""]",0.0,0.6329122924804688,0.7714285714285715,0.8742200328407225
def resetProgress(self):,""""""" Resets progress """"""",1,                                       qt.QMessageBox.Yes | qt.QMessageBox.Cancel),qt.QMessageBox.Yes | qt.QMessageBox.No),0.0,0.839354248046875,0.9024390243902439,0.9363943549990061
"def __init__(self, superClass, course, color):",""""""" Main Window """"""",1,"        uic.loadUi(""gui/courseOptions.ui"", self)","uic.loadUi(""gui/courseOptions.ui"",  self)",0.0,1.0,0.9876543209876543,0.991869918699187
def fillTable(self):,""""""" Fills table using current values """"""",1,"                                [{""text"": ""Value1a"", ""userFill"": True}, {""text"": ""Value1b"", ""userFill"": True}],","[{""text"": ""Value1a"", ""userFill"": True}, {""text"": ""Value1b"", ""userFill"": True}]",0.0,0.9884489440917968,0.9936305732484076,0.9957805907172995
"def __init__(self, superClass, tableValues, tableSubmitted):",""""""" Main Window """"""",1,        self.originalTableValues = copy.deepcopy(tableValues),self.originalTableValues = copy.deepcopy(originalTableValues),0.0,0.8969246673583985,0.9122807017543859,0.9252995947242777
def createOneWayTable(self):,""""""" Fills table as one way """"""",1,"            item = qt.QTableWidgetItem(name[""text""])",item = qt.QTableWidgetItem(name),0.0,0.7857544708251953,0.8888888888888888,0.9333333333333332
def changeTableType(self):,""""""" Changes one-way table to two-way and vice versa """"""",1,self.twoWayTable = self.twoWayCheck.isChecked(),self.twoWayTable = self.twoWayCheck.tableType,0.0,0.755277328491211,0.8260869565217391,0.8843183609141055
"def guess_the_name(self, players, suspicion_points):","""""""Guess the players name based of their face""""""",1,"        self.c.create_rectangle(0, 65, 800, 550, fill=""#212121"")","self.c.create_rectangle(0, 65, 800, 550, 2)",0.0,0.7420188903808593,0.8686868686868687,0.9226190476190476
"def show_votes_2(self, text1, text2):","""""""Show text after vote""""""",1,        self.is_button_pressed = False,self.is_button_pressed = 1,0.0,0.8291585540771484,0.8928571428571429,0.9316239316239315
"def show_mingle_option(self, event):","""""""Shows reply option for mingle""""""",1,        self.selected = self.chat_names.index(self.reply_players.get()),self.selected = self.chat_names.index(self.reply_players.current()),0.0,0.9153507995605469,0.9538461538461538,0.9698333728184475
"def speed_clicker(self, players, examine_players):","""""""How fast can Player 1 click in 5 seconds""""""",1,"        self.clicker = Button(self.activity_frame, text=""Click Me"", font=""Arial 18 bold"", bg=""#666666"", fg=""white"", command=self.clicked_btn)","self.clicker = Button(self.activity_frame, text=""Click Me"", font=""Arial 18 bold"", bg=""#666666"", fg=""white"", command=self.click_me)",0.0,0.9506962585449219,0.973384030418251,0.9848268554510904
"def guess_the_fact(self, players, suspicion_points, character_data):","""""""Guess the player's fact""""""",1,"        self.statement_btn = Button(self.activity_frame, text=""Confirm"", font=""Arial 18 bold"", bg=""#666666"", fg=""white"", command=self.correct_fact, state=DISABLED)","self.statement_btn = Button(self.activity_frame, text=""Confirm"", font=""Arial 18 bold"", bg=""#666666"", fg=""white"", command=self.correct_fact,  width=10, height=1, bd=0, relief=GROOVE, bg=""#666666"", activebackground=""#666666"", activeforeground=""#666666"", activebackground=""#666666"", activeforeground=""#666666"", command=self.correct",0.0,0.7347053527832031,0.6004140786749482,0.7911196016511646
"def mingle_reply(self, event):","""""""Enabled Reply Button""""""",1,"self.reply_button.config(state=NORMAL, command=self.show_reply)","self.reply_button.config(state=NORMAL, command=self.reply_button_pressed)",0.0,0.8387836456298828,0.8529411764705882,0.9127655453727764
"def lights_out_continued(self, is_doctor, is_detective):","""""""Display wake up""""""",1,"        self.c.create_text(40, 300, text=""[Narrator]: Wake Up!"", anchor=NW, fill=""white"", font=""Arial 20"")","self.c.create_text(40, 300, text=""[Narrator]: Wake Up!"", anchor=NW, fill=""white"", font=""Arial 20"")",1.0,1.0,1.0,1.0
"def murderer_action(self, players, murder_data):","""""""Function for the murderer""""""",1,"self.players, self.murder_data = players, murder_data","self.players, self.murder_data = players,  murder_data",0.0,1.0,0.9906542056074766,0.9938271604938271
"def show_votes_1(self, voting_board):","""""""Show CPU votings""""""",1,        self.voting_board = voting_board,self.voting_board =  voting_board,0.0,1.0,0.9846153846153847,0.98989898989899
def show_CPU_reply(self):,"""""""Shows CPU's reply""""""",1,"        if self.selected_reply[""Points""] == 20:","if self.selected_reply[""Points""] == 0:",0.0,0.9297943878173828,0.987012987012987,0.9914529914529915
"def update_suspicion_points(self, points):","""""""Updates suspicion points status""""""",1,"        self.suspicion_status.config(text=f""Suspicion Points = {self.suspicion_points}"")","self.suspicion_status.config(text=f""Suspicion Points = {self.suspicion_points}"")",1.0,1.0,1.0,1.0
"def introduction(self, players):","""""""Introduction to the players""""""",1,"        Button(self.activity_frame, text=""Let's Play"", font=""Arial 18 bold"", bg=""#666666"", fg=""white"", command=self.proceed).pack(ipadx=10)","Button(self.activity_frame, text=""Let's Play"", font=""Arial 18 bold"", bg=""#666666"", fg=""white"", command=self.proceed).grid(row=0, column=0, sticky=W)",0.0,0.8742375946044922,0.8745519713261649,0.9249310226256791
"def revote_4(self, revote_data, top_players):","""""""If Player 1 and at least 1 CPU is voted out""""""",1,        self.top_CPU_players = top_players.copy(),self.top_CPU_players = top_players.copy(),1.0,1.0,1.0,1.0
def lights_out(self):,"""""""Display lights out""""""",1,"        self.c.create_text(40, 70, text=f""[Narrator]: Round {self.round_no} – Lights out."", anchor=NW, fill=""white"", font=""Arial 20"")","self.c.create_text(40, 70, text=f""[Narrator]: Round {self.round_no} – Lights out."", anchor=NW, fill=""white"", font=""Arial 12 bold"")",0.0,0.9630674743652343,0.9725490196078431,0.981948717948718
"def trivia_question(self, players, df, examine_players):","""""""Guess the answer to the question""""""",1,        self.q_options = [],self.q_options = 0 #number of options,0.0,0.7121039581298828,0.6071428571428572,0.7847321005215742
def wait_for_response():,"""""""Function for stopping program until user meets required conditions""""""",1,global is_button_pressed,"global arduino_connected,arduino_connected_lock,arduino_connected_lock_lock,arduino_connected_lock_lock_lock,arduino_connected_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock_lock",0.0,0.06391661643981933,0.09620253164556958,0.5441177629608612
def start_game():,"""""""Run main code""""""",1,global root,global ,0.0,0.49168106079101564,0.7058823529411764,0.8484848484848485
